countPeriod,countComma,countQuestion, countExclamation,countLetters,longestWordLength,countWspace,class
1621,586,189,119,138661,631,12804,0
1783,510,93,226,202207,555,9695,0
1626,420,189,120,132501,652,11954,0
3042,625,165,63,304768,667,19205,0
2974,629,140,88,290565,678,17923,0
3038,651,157,66,283011,678,17605,0
1751,490,90,226,201647,555,9519,0
1750,536,90,202,203558,555,9884,0
1129,373,46,178,95188,555,4356,0
1715,440,90,226,201575,555,9036,0
1522,362,195,117,120256,652,10849,0
1528,347,191,117,120913,652,10865,0
6624,1616,107,57,460716,907,22828,0
1740,493,90,202,201035,555,9571,0
1072,169,102,33,83213,555,6327,0
7707,1775,97,58,524265,907,23038,0
11007,2926,109,57,760957,907,36035,0
3538,686,96,52,252573,907,13497,0
9470,2596,106,56,680158,2181,34939,0
11938,3326,114,58,847951,2181,38031,0
2251,825,99,154,118517,4645,5617,0
4046,824,108,51,294518,907,15550,0
3636,759,111,51,264152,907,13993,0
2069,513,154,58,169065,678,13575,0
1524,376,181,117,123284,631,11048,0
1577,394,186,117,130607,631,11671,0
1892,605,96,226,220130,555,10764,0
3808,712,103,54,275180,907,14563,0
5288,1102,102,42,363729,907,19336,0
1745,486,90,226,206869,555,9973,0
1761,700,93,226,209415,555,9613,0
1766,478,91,226,208718,555,9605,0
9075,1277,120,93,404052,649,37059,0
8974,1329,107,97,392624,649,34642,0
1102,364,40,178,92393,555,3983,0
4160,930,92,46,290278,907,14010,0
5037,1124,107,47,385351,2189,17877,0
1742,711,104,226,211657,555,9853,0
1739,475,90,226,199272,555,9273,0
1529,403,179,119,134525,631,12014,0
1729,479,90,226,204643,555,9512,0
3641,722,98,44,257206,907,11741,0
1488,471,172,117,121132,631,10832,0
4011,847,99,46,280398,907,13452,0
2786,554,146,62,225601,678,15295,0
1498,366,176,118,122865,652,11052,0
5326,1064,100,63,360437,907,19380,0
1549,577,197,121,122775,674,10706,0
1562,394,184,117,126203,631,11342,0
1764,505,92,226,216694,555,9973,0
5966,1236,81,29,405450,9801,12143,0
1712,688,90,226,199328,555,9068,0
4832,1122,106,51,374088,2181,17827,0
1520,568,179,117,124117,631,10966,0
1819,791,107,226,217672,555,10909,0
1804,541,96,226,209287,555,10345,0
5851,1303,88,49,400468,907,18740,0
1891,831,91,226,221802,555,10859,0
7036,1646,86,28,508677,9801,15299,0
1750,471,90,202,209447,555,9433,0
1280,732,107,186,99590,8041,4489,0
6268,1396,88,44,420159,907,20488,0
2007,476,174,58,163851,678,13474,0
3634,661,165,73,386145,667,22600,0
1737,720,90,202,207980,555,9379,0
3052,644,188,75,304168,678,19012,0
6111,1373,72,28,421131,10373,13437,0
4175,874,69,29,291163,5149,9586,0
1182,771,110,189,105897,8041,5153,0
9241,1200,169,100,410972,761,35834,0
4820,1146,104,51,344185,907,16220,0
1749,496,91,226,206962,555,9906,0
3241,698,80,34,229200,907,9567,0
1534,372,181,118,124109,631,11110,0
6883,1611,113,59,475147,907,21236,0
