311,52,8,23,30818,384,7093,0
232,32,7,21,20648,438,4765,0
3574,2510,406,425,163113,2742,17747,0
3545,2510,396,418,176090,2742,21005,0
1895,185,195,66,142235,267,23290,0
3232,1331,343,32,345743,916,22189,0
3682,149,296,62,221765,780,9920,0
2462,250,48,51,194951,431,19742,0
1834,163,489,33,318949,261,97992,0
1284,128,485,33,182626,155,48355,0
7128,3781,577,294,633538,14162,110258,0
226,45,31,4,13655,345,513,0
572,35,83,8,43567,345,1849,0
519,197,40,30,56888,345,5540,0
1723,417,124,30,392456,509,24686,0
1069,28,114,10,63934,108,4162,0
1071,208,22,20,169497,335,14247,0
1492,629,264,58,208418,4636,59092,0
1549,940,131,39,206225,18762,42293,0
3608,2416,138,121,340846,7647,43699,0
2548,1348,118,162,140768,5819,16481,0
76,20,3,6,7380,312,940,0
1067,571,79,40,137972,11971,10608,0
940,442,68,48,103307,12029,10127,0
618,859,7,12,77653,138,4115,0
486,738,3,15,59546,218,3027,0
863,306,125,36,89255,2483,21655,0
1550,1035,304,34,290997,5928,98519,0
3567,3907,155,146,174373,67123,6701,0
6152,8150,189,172,364332,67123,9554,0
1506,440,48,108,154723,446,9333,0
148,58,1,8,17368,99,2511,0
947,118,18,14,95159,249,14770,0
2975,581,215,114,221490,7924,8048,0
5132,1223,273,193,267834,1117,11912,0
595,406,27,42,143601,803,55498,0
410,140,24,21,48199,857,11705,0
459,140,27,19,64593,850,14772,0
1445,5044,35,13,340747,736,18010,0
1596,5239,23,10,329312,736,19058,0
2861,882,465,161,173152,909,26266,0
480,79,59,9,83231,224,22037,0
6590,577,1156,153,853770,16413,47834,0
7119,623,1083,71,857977,19289,49391,0
1538,4566,6,16,109207,39391,2611,0
1938,4624,9,17,181966,39391,11526,0
1787,330,74,8,247558,962,43011,0
642,248,72,3,95035,962,19099,0
1960,927,211,289,137897,346,11688,0
1203,326,26,75,85165,803,5260,0
962,343,24,61,96495,803,10211,0
2988,973,146,81,457619,9556,129353,0
5046,1304,346,87,734688,9556,170960,0
4217,3349,214,253,386896,6417,18984,0
2141,1068,210,174,180497,1723,41050,0
2896,1361,340,240,405983,1713,92190,0
1541,480,37,78,107915,1230,7138,0
2015,1120,80,95,240008,1850,13341,0
0,0,0,0,144,27,4,0
0,0,0,0,144,27,4,0
7,0,2,1,345,64,24,0
268,201,25,31,8369,395,151,0
16,4,0,1,1174,38,511,0
267,201,25,31,8299,395,149,0
16,4,0,1,1174,38,511,0
228,172,33,22,7956,349,228,0
228,172,33,22,7956,349,228,0
9,2,3,1,618,62,48,0
191,162,21,25,8944,488,1239,0
191,162,21,25,8948,488,1239,0
4,0,0,1,263,58,12,0
0,8,0,0,296,132,7,0
6,0,0,1,398,58,20,0
4,0,0,1,263,58,12,0
16,1,10,10,1843,170,478,0
4469,2559,306,555,95534,1595,1760,0
122,138,11,13,6357,1572,154,0
106,50,15,29,3988,285,117,0
529,480,88,19,25252,10317,957,0
529,480,88,19,25244,10317,955,0
528,480,88,19,25171,10317,953,0
529,480,88,19,25265,10317,957,0
528,480,88,19,25171,10317,953,0
256,235,27,24,8469,558,191,0
1,0,0,0,330,38,15,0
289,41,53,8,19231,1039,202,0
145,134,36,6,6413,4596,17,0
0,0,0,0,107,25,3,0
23,6,1,2,1416,55,491,0
804,698,94,118,29788,332,861,0
804,698,94,118,29783,332,861,0
3,4,0,1,568,62,18,0
804,698,94,118,29788,332,861,0
804,698,94,118,29783,332,861,0
106,50,15,29,3988,285,117,0
615,680,102,83,19367,634,439,0
615,680,102,83,19367,634,439,0
3,4,0,1,568,62,18,0
361,388,11,10,48463,2116,1189,0
789,862,118,107,34244,4855,688,0
90,58,6,9,5702,342,438,0
956,414,35,57,26651,984,355,0
950,414,35,57,25777,984,321,0
106,50,15,29,3988,285,117,0
106,50,15,29,3988,285,117,0
6,0,0,0,358,63,9,0
106,50,15,29,3988,285,117,0
90,58,6,9,5702,342,438,0
956,414,35,57,26666,984,355,0
950,414,35,57,25777,984,321,0
106,50,15,29,3988,285,117,0
106,50,15,29,3988,285,117,0
6,0,0,0,323,63,9,0
106,50,15,29,3988,285,117,0
48,0,0,1,3252,58,173,0
0,0,0,0,1,0,1,0
0,0,0,0,64,11,1,0
14,7,1,1,1602,63,180,0
